Destination,Month,Date
ALY,07,58
ALY,08,29
ALY,09,171
ALY,10,282
ALY,11,168
ALY,12,224
AMA,01,29
AMA,02,58
AMA,04,29
AMA,05,29
AMA,06,29
AMA,07,29
AMA,08,29
AMA,09,57
AMA,10,169
AMA,12,168
AMD,01,696
AMD,02,928
AMD,03,957
AMD,04,783
AMD,05,667
AMD,06,1044
AMD,07,1073
AMD,08,928
AMD,09,2166
AMD,10,3555
AMD,11,2072
AMD,12,2408
AMH,08,29
AMH,12,56
AMI,02,29
AMI,10,56
AMI,11,56
AMM,01,1102
AMM,02,1566
AMM,03,1624
AMM,04,1711
AMM,05,1421
AMM,06,1218
AMM,07,1363
AMM,08,1363
AMM,09,2622
AMM,10,1978
AMM,11,2576
AMM,12,2128
AMQ,03,29
AMQ,06,29
AMQ,07,29
AMQ,08,87
AMQ,09,171
AMQ,10,56
AMQ,11,56
AMS,01,8613
AMS,02,8816
AMS,03,9309
AMS,04,9048
AMS,05,8091
AMS,06,7975
AMS,07,8323
AMS,08,8497
AMS,09,17556
AMS,10,14980
AMS,11,14504
AMS,12,10696
AMV,04,29
ANC,01,203
ANC,02,174
ANC,03,348
ANC,04,406
ANC,05,290
ANC,06,145
ANC,07,348
ANC,08,377
ANC,09,741
ANC,10,452
ANC,11,672
ANC,12,560
ANE,01,29
ANE,04,58
ANE,07,29
ANE,08,29
ANE,09,29
ANE,10,112
ANF,01,29
ANF,03,29
ANF,04,29
ANF,05,29
ANF,08,87
ANF,10,56
ANF,11,112
ANK,01,261
ANK,02,203
ANK,03,203
ANK,04,174
ANK,05,377
ANK,06,464
ANK,07,348
ANK,08,290
ANK,09,684
ANK,10,169
ANK,11,392
ANK,12,448
ANM,09,29
ANR,01,29
ANR,02,174
ANR,03,58
ANR,04,87
ANR,05,116
ANR,06,116
ANR,07,145
ANR,08,87
ANR,09,228
ANR,10,338
ANR,11,224
ANR,12,112
ANU,01,493
ANU,02,290
ANU,03,290
ANU,04,406
ANU,05,290
ANU,06,551
ANU,07,464
ANU,08,493
ANU,09,570
ANU,10,678
ANU,11,840
ANU,12,728
ANV,11,56
ANX,08,29
ANX,12,56
AOC,10,57
AOE,01,29
AOE,06,58
AOE,08,58
AOH,05,29
AOI,01,145
AOI,02,29
AOI,03,174
AOI,04,174
AOI,05,87
AOI,06,174
AOI,07,87
AOI,08,116
AOI,09,171
AOI,10,56
AOI,11,56
AOJ,03,29
AOJ,09,171
AOJ,10,57
AOK,01,58
AOK,03,58
AOK,04,29
AOK,05,58
AOK,06,29
AOK,07,58
AOK,08,145
AOK,09,29
AOK,11,112
AOO,09,29
AOR,04,29
AOT,08,29
AOT,10,56
AOT,11,56
AOT,12,56
APA,03,29
APA,10,57
APC,06,29
APC,07,29
APC,08,29
APC,10,169
APF,02,58
APF,03,58
APF,04,29
APF,05,29
APF,06,29
APF,07,29
APF,09,29
APF,10,112
APF,11,57
APF,12,56
APG,02,29
APL,08,29
APL,12,56
APO,04,29
APU,05,29
APW,01,116
APW,03,58
APW,04,29
APW,05,58
APW,06,58
APW,07,145
APW,10,56
APW,12,280
AQI,01,29
AQI,03,58
AQI,07,29
AQI,09,171
AQI,11,112
AQJ,01,58
AQJ,02,58
AQJ,03,58
AQJ,06,29
AQJ,07,29
AQJ,08,58
AQJ,09,114
AQJ,10,112
AQJ,11,112
AQJ,12,224
AQP,01,58
AQP,02,87
AQP,03,29
AQP,04,116
AQP,05,58
AQP,07,87
AQP,08,29
AQP,09,29
AQP,11,112
AQP,12,280
ARB,04,29
ARB,07,29
ARE,01,29
ARE,03,29
ARG,08,29
ARH,01,58
ARH,02,87
ARH,03,58
ARH,04,87
ARH,05,203
ARH,06,174
ARH,07,87
ARH,08,203
ARH,09,57
ARH,10,225
ARH,11,448
ARH,12,168
ARI,06,58
ARI,07,29
ARI,08,29
ARI,11,56
ARJ,02,29
ARK,02,58
ARK,05,29
ARK,06,58
ARK,09,57
ARK,10,57
ARK,11,57
ARK,12,56
ARM,02,29
ARM,04,29
ARM,05,29
ARM,08,29
ARN,01,5790
ARN,02,2407
ARN,03,2175
ARN,04,2291
ARN,05,2552
ARN,06,2465
ARN,07,2175
ARN,08,2494
ARN,09,4560
ARN,10,3894
ARN,11,3920
ARN,12,3304
ART,02,29
ART,05,29
ART,10,113
ARU,02,29
ARU,04,29
ARU,05,29
ARU,12,112
ARW,01,29
ARW,08,29
ARW,11,56
ARW,12,56
ASB,01,29
ASB,03,29
ASB,04,87
ASB,05,145
ASB,06,58
ASB,07,58
ASB,08,29
ASB,09,114
ASB,10,112
ASB,11,56
ASB,12,112
ASE,01,29
ASE,02,58
ASE,03,29
ASE,05,29
ASE,10,57
ASE,11,57
ASE,12,168
ASF,02,145
ASF,04,58
ASF,05,29
ASF,06,116
ASF,07,58
ASF,08,174
ASF,09,57
ASF,10,228
ASF,11,168
ASF,12,224
ASJ,05,29
ASM,01,29
ASM,02,29
ASM,03,58
ASM,04,29
ASM,05,29
ASM,06,58
ASM,07,116
ASM,08,58
ASM,09,114
ASM,11,56
ASM,12,56
ASP,01,58
ASP,02,87
ASP,03,145
ASP,04,58
ASP,05,29
ASP,06,116
ASP,07,116
ASP,08,116
ASP,09,114
ASP,10,169
ASP,11,168
ASP,12,112
ASR,01,290
ASR,02,290
ASR,03,174
ASR,04,261
ASR,05,174
ASR,06,174
ASR,07,377
ASR,08,203
ASR,09,513
ASR,10,451
ASR,11,280
ASR,12,56
ASU,01,319
ASU,02,232
ASU,03,116
ASU,04,232
ASU,05,319
ASU,06,232
ASU,07,203
ASU,08,261
ASU,09,912
ASU,10,564
ASU,11,1176
ASU,12,448
ASV,03,29
ASV,07,29
ASV,09,57
ASW,05,29
ASW,09,57
ASW,10,56
ASW,12,56
ATA,03,29
ATF,02,29
ATG,09,57
ATH,01,5307
ATH,02,4553
ATH,03,5858
ATH,04,6032
ATH,05,6583
ATH,06,5945
ATH,07,6409
ATH,08,5481
ATH,09,8664
ATH,10,6817
ATH,11,8568
ATH,12,5824
ATL,01,2233
ATL,02,1972
ATL,03,3016
ATL,04,2987
ATL,05,2958
ATL,06,2755
ATL,07,3190
ATL,08,2755
ATL,09,5244
ATL,10,5635
ATL,11,6496
ATL,12,5320
ATM,01,58
ATM,05,29
ATM,06,29
ATQ,01,464
ATQ,02,319
ATQ,03,261
ATQ,04,261
ATQ,05,174
ATQ,06,232
ATQ,07,261
ATQ,08,290
ATQ,09,627
ATQ,10,1018
ATQ,11,336
ATQ,12,672
ATW,02,29
ATW,04,29
ATW,06,29
ATW,07,29
ATW,08,87
ATW,09,114
ATW,10,56
ATW,12,112
ATZ,03,29
ATZ,05,29
ATZ,09,29
ATZ,10,57
AUA,01,1160
AUA,02,899
AUA,03,1218
AUA,04,1305
AUA,05,1334
AUA,06,1131
AUA,07,1044
AUA,08,812
AUA,09,2109
AUA,10,2430
AUA,11,2016
AUA,12,1736
AUC,08,29
AUC,11,56
AUG,04,29
AUG,10,57
AUG,11,56
AUH,01,3909
AUH,02,2755
AUH,03,2233
AUH,04,1711
AUH,05,1595
AUH,06,1566
AUH,07,1972
AUH,08,2494
AUH,09,3648
AUH,10,4464
AUH,11,5208
AUH,12,3416
AUK,05,29
AUK,06,29
AUR,06,29
AUR,08,29
AUS,01,406
AUS,02,522
AUS,03,841
AUS,04,406
AUS,05,493
AUS,06,290
AUS,07,609
AUS,08,493
AUS,09,855
AUS,10,1410
AUS,11,1568
AUS,12,1456
AUW,03,29
AUW,07,29
AUW,11,56
AUX,01,29
AUX,02,29
AVI,04,29
AVL,02,58
AVL,03,58
AVL,04,87
AVL,05,29
AVL,06,29
AVL,07,29
AVL,08,58
AVL,09,171
AVL,10,281
AVL,11,56
AVL,12,224
AVN,01,58
AVN,02,58
AVN,03,87
AVN,04,58
AVN,05,58
AVN,06,58
AVN,07,174
AVN,08,58
AVN,10,57
AVN,11,56
AVP,02,29
AVP,03,29
AVP,06,29
AVP,08,29
AVP,09,57
AVP,10,112
AVP,11,112
AVP,12,56
AVV,01,116
AVV,03,29
AVV,06,29
AVV,07,87
AVV,09,171
AVV,10,57
AVV,11,224
AVV,12,168
AWP,09,29
AXA,01,29
AXA,02,58
AXA,03,58
AXA,05,58
AXA,06,29
AXA,07,29
AXA,08,29
AXA,10,57
AXD,01,87
AXD,02,29
AXD,03,58
AXD,05,58
AXD,06,29
AXD,07,58
AXD,09,171
AXD,10,56
AXD,11,56
AXM,01,87
AXM,02,58
AXM,03,87
AXM,04,58
AXM,05,29
AXM,06,58
AXM,07,58
AXM,08,87
AXM,09,171
AXM,10,224
AXM,11,224
AXM,12,56
AXP,12,56
AXT,06,29
AYE,01,29
AYQ,01,29
AYQ,02,58
AYQ,03,87
AYQ,04,29
AYQ,05,87
AYQ,06,145
AYQ,07,29
AYQ,09,228
AYQ,10,170
AYQ,11,56
AYQ,12,224
AYT,01,4031
AYT,02,3683
AYT,03,3422
AYT,04,3654
AYT,05,4959
AYT,06,4408
AYT,07,5162
AYT,08,4524
AYT,09,7296
AYT,10,7286
AYT,11,4816
AYT,12,4256
AZA,01,87
AZA,02,58
AZA,03,58
AZA,05,58
AZA,06,87
AZA,07,58
AZA,08,58
AZA,09,29
AZA,11,168
AZD,04,29
AZI,02,29
AZI,07,29
AZI,09,114
AZN,06,29
AZN,07,87
AZN,09,114
AZN,11,56
AZN,12,56
AZO,02,29
AZO,03,29
AZO,04,29
AZO,07,58
AZO,08,29
AZO,10,56
AZR,07,29
AZS,01,29
AZS,02,29
AZS,03,116
AZS,04,87
AZS,05,116
AZS,07,87
AZS,08,29
AZS,09,58
AZS,10,56
AZS,11,112
AZS,12,168
BAE,01,29
BAH,01,493
BAH,02,522
BAH,03,580
BAH,04,406
BAH,05,348
BAH,06,377
BAH,07,406
BAH,08,667
BAH,09,1596
BAH,10,849
BAH,11,1400
BAH,12,896
BAI,11,56
BAJ,05,29
BAJ,07,29
BAJ,09,57
BAJ,10,57
BAJ,11,56
BAJ,12,56
BAK,01,203
BAK,02,58
BAK,03,290
BAK,04,261
BAK,05,232
BAK,06,174
BAK,07,290
BAK,08,232
BAK,09,627
BAK,10,168
BAK,11,336
BAK,12,280
BAL,01,29
BAL,04,58
BAL,06,29
BAL,08,29
BAL,09,57
BAN,02,29
BAN,06,29
BAQ,01,232
BAQ,02,348
BAQ,03,261
BAQ,04,203
BAQ,05,232
BAQ,06,174
BAQ,07,319
BAQ,08,203
BAQ,09,741
BAQ,10,563
BAQ,11,392
BAQ,12,168
BAR,01,29
BAU,01,29
BAV,01,29
BAX,01,87
BAX,02,58
BAX,03,203
BAX,04,203
BAX,05,29
BAX,06,174
BAX,07,145
BAX,08,116
BAX,09,171
BAX,10,227
BAX,11,336
BAX,12,392
BBA,08,29
BBA,09,29
BBI,01,261
BBI,02,58
BBI,03,261
BBI,04,116
BBI,05,145
BBI,06,174
BBI,07,58
BBI,08,87
BBI,09,285
BBI,10,225
BBI,11,112
BBI,12,448
BBK,10,57
BBO,02,87
BBO,04,29
BBO,06,87
BBO,09,57
BBU,01,29
BBU,03,29
BBU,04,29
BBU,05,29
BBU,06,29
BBU,07,29
BBU,09,114
BBU,10,169
BBU,12,56
BCA,03,29
BCD,01,29
BCD,02,29
BCD,03,29
BCD,04,29
BCD,05,29
BCD,06,29
BCD,07,29
BCD,09,114
BCD,10,56
BCI,11,56
BCL,11,56
BCM,01,58
BCM,02,116
BCM,03,58
BCM,04,29
BCM,05,87
BCM,06,116
BCM,07,58
BCM,08,29
BCM,09,114
BCM,11,56
BCM,12,112
BCN,01,14993
BCN,02,14413
BCN,03,15544
BCN,04,15892
BCN,05,14616
BCN,06,13485
BCN,07,14877
BCN,08,13775
BCN,09,23427
BCN,10,20276
BCN,11,19824
BCN,12,15400
BCT,06,29
BCZ,07,29
BCZ,08,29
BDA,01,522
BDA,02,377
BDA,03,464
BDA,04,261
BDA,05,464
BDA,06,377
BDA,07,232
BDA,08,377
BDA,09,741
BDA,10,564
BDA,11,448
BDA,12,392
BDB,02,58
BDB,03,87
BDB,04,29
BDB,05,87
BDB,08,58
BDB,10,57
BDJ,02,29
BDJ,06,29
BDJ,07,87
BDJ,08,174
BDJ,09,114
BDJ,10,168
BDJ,11,112
BDJ,12,56
BDL,01,145
BDL,02,290
BDL,03,174
BDL,04,290
BDL,05,290
BDL,06,203
BDL,07,348
BDL,08,290
BDL,09,399
BDL,10,506
BDL,11,504
BDL,12,448
BDO,01,29
BDO,02,58
BDO,05,87
BDO,06,116
BDO,07,116
BDO,08,145
BDO,09,114
BDO,10,170
BDO,11,112
BDO,12,224
BDP,08,29
BDQ,01,116
BDQ,02,58
BDQ,03,87
BDQ,04,29
BDQ,05,29
BDQ,06,116
BDQ,07,87
BDQ,08,87
BDQ,09,87
BDQ,10,395
BDQ,11,336
BDQ,12,112
BDS,01,522
BDS,02,174
BDS,03,377
BDS,04,377
BDS,05,232
BDS,06,522
BDS,07,493
BDS,08,522
BDS,09,570
BDS,10,450
BDS,11,728
BDS,12,392
BDU,07,29
BDU,11,56
BEB,01,29
BEB,03,58
BEB,05,29
BEB,08,29
BEB,09,57
BEB,10,57
BEB,11,56
BED,05,29
BEG,01,1276
BEG,02,1131
BEG,03,1276
BEG,04,1421
BEG,05,1131
BEG,06,1015
BEG,07,870
BEG,08,1479
BEG,09,1938
BEG,10,2147
BEG,11,2240
BEG,12,1792
BEL,01,580
BEL,02,522
BEL,03,435
BEL,04,464
BEL,05,493
BEL,06,377
BEL,07,551
BEL,08,493
BEL,09,684
BEL,10,850
BEL,11,1008
BEL,12,672
BEN,01,87
BEN,04,29
BEN,05,29
BEN,06,29
BEN,07,29
BEN,10,112
BEO,03,29
BEO,06,29
BEO,09,57
BEO,10,113
BEO,12,56
BEP,02,29
BEP,11,56
BEQ,08,29
BER,01,6844
BER,02,5510
BER,03,7366
BER,04,6612
BER,05,6844
BER,06,5597
BER,07,5539
BER,08,5945
BER,09,11685
BER,10,10900
BER,11,9072
BER,12,8176
BES,01,203
BES,02,145
BES,03,377
BES,04,203
BES,05,116
BES,06,232
BES,07,174
BES,08,290
BES,09,114
BES,10,225
BES,11,224
BES,12,112
BET,10,57
BEW,02,29
BEW,04,29
BEW,05,29
BEW,06,29
BEW,09,57
BEW,11,56
BEW,12,56
BEY,01,1189
BEY,02,1276
BEY,03,1740
BEY,04,1827
BEY,05,1566
BEY,06,1421
BEY,07,2030
BEY,08,1450
BEY,09,1938
BEY,10,3665
BEY,11,1848
BEY,12,1904
BFC,07,29
BFE,02,29
BFF,11,56
BFF,12,56
BFI,09,57
BFI,10,56
BFI,11,56
BFL,01,29
BFL,05,29
BFL,06,58
BFL,08,29
BFL,09,57
BFL,10,112
BFL,11,56
BFL,12,56
BFN,01,29
BFN,02,29
BFN,04,29
BFN,06,29
BFN,09,29
BFN,11,56
BFN,12,56
BFO,11,56
BFS,01,319
BFS,02,319
BFS,03,348
BFS,04,435
BFS,05,435
BFS,06,348
BFS,07,261
BFS,08,348
BFS,09,798
BFS,10,619
BFS,11,728
BFS,12,280
BGA,01,116
BGA,02,58
BGA,03,203
BGA,04,58
BGA,05,174
BGA,06,232
BGA,07,203
BGA,08,377
BGA,09,399
BGA,10,280
BGA,11,280
BGA,12,224
BGC,08,29
BGF,02,29
BGF,06,29
BGF,07,29
BGF,08,29
BGF,11,56
BGI,01,754
BGI,02,725
BGI,03,783
BGI,04,493
BGI,05,899
BGI,06,493
BGI,07,725
BGI,08,493
BGI,09,1140
BGI,10,1353
BGI,11,1008
BGI,12,896
BGJ,01,29
BGM,08,29
BGM,10,56
BGM,12,168
BGO,01,1102
BGO,02,1073
BGO,03,493
BGO,04,928
BGO,05,1015
BGO,06,725
BGO,07,638
BGO,08,1189
BGO,09,1881
BGO,10,2201
BGO,11,1344
BGO,12,728
BGR,01,87
BGR,04,58
BGR,05,87
BGR,06,58
BGR,07,29
BGR,08,58
BGR,09,29
BGR,10,170
BGR,11,57
BGR,12,112
BGT,01,29
BGW,01,261
BGW,02,145
BGW,03,203
BGW,04,116
BGW,05,174
BGW,06,145
BGW,07,58
BGW,08,116
BGW,09,114
BGW,10,113
BGW,11,392
BGW,12,504
BGY,01,377
BGY,02,232
BGY,03,406
BGY,04,435
BGY,05,464
BGY,06,319
BGY,07,377
BGY,08,348
BGY,09,570
BGY,10,851
BGY,11,224
BGY,12,280
BHB,08,29
BHD,01,406
BHD,02,174
BHD,03,261
BHD,04,87
BHD,05,87
BHD,06,58
BHD,07,174
BHD,08,203
BHD,09,399
BHD,10,228
BHD,11,224
BHD,12,112
BHE,01,29
BHE,03,29
BHE,05,29
BHE,06,29
BHE,07,29
BHE,08,29
BHE,10,57
BHH,01,87
BHH,02,116
BHH,03,87
BHH,04,87
BHH,05,290
BHH,06,203
BHH,07,145
BHH,08,116
BHH,09,228
BHH,10,283
BHH,12,112
BHI,01,29
BHI,10,113
BHI,12,56
BHJ,01,58
BHJ,04,58
BHJ,05,58
BHJ,07,29
BHJ,08,29
BHJ,09,57
BHJ,10,56
BHK,01,58
BHK,04,87
BHK,06,29
BHK,07,58
BHK,09,285
BHK,10,113
BHK,12,168
BHM,01,145
BHM,02,145
BHM,03,87
BHM,04,87
