,Month,Destination,Date
191,01,BOM,5236
192,01,BON,112
193,01,BOO,168
194,01,BOS,2604
195,01,BPN,112
196,01,BPS,532
197,01,BQH,28
198,01,BQN,84
199,01,BRA,28
200,01,BRC,28
201,01,BRE,560
202,01,BRI,840
203,01,BRN,84
204,01,BRO,28
205,01,BRQ,56
206,01,BRS,308
207,01,BRU,3332
208,01,BSB,1512
209,01,BSK,28
210,01,BSL,476
211,01,BSR,28
212,01,BTH,28
213,01,BTM,28
214,01,BTR,112
215,01,BTS,196
216,01,BTV,28
217,01,BUD,2940
218,01,BUE,2660
219,01,BUF,224
220,01,BUH,1232
221,01,BUR,56
222,01,BUS,28
223,01,BVA,56
224,01,BVB,112
225,01,BVC,84
226,01,BVE,56
227,01,BWI,392
228,01,BWK,28
229,01,BWN,140
230,01,BWU,28
231,01,BXN,84
232,01,BXU,56
233,01,BYO,56
234,01,BYU,28
235,01,BZE,504
236,01,BZG,28
237,01,BZN,28
238,01,BZO,112
239,01,BZR,140
240,01,BZV,56
241,01,CAE,56
242,01,CAG,728
243,01,CAI,2968
244,01,CAK,28
245,01,CAL,56
246,01,CAN,1232
247,01,CAP,28
248,01,CAS,644
249,01,CAY,168
250,01,CBB,28
251,01,CBO,28
252,01,CBR,336
253,01,CCC,28
254,01,CCF,56
255,01,CCJ,448
256,01,CCP,28
257,01,CCS,700
258,01,CCU,924
259,01,CDG,7560
260,01,CDU,28
261,01,CEB,1064
262,01,CEI,84
263,01,CEK,84
264,01,CEZ,28
265,01,CFB,28
266,01,CFE,84
267,01,CFK,28
268,01,CFR,28
269,01,CFU,392
270,01,CGB,308
271,01,CGH,1036
272,01,CGK,840
273,01,CGN,2548
274,01,CGP,28
275,01,CGQ,56
276,01,CGR,364
277,01,CGY,28
278,01,CHA,28
279,01,CHC,616
280,01,CHI,1288
281,01,CHO,56
282,01,CHQ,308
283,01,CHS,140
284,01,CIA,168
285,01,CID,28
286,01,CIW,28
287,01,CJB,140
288,01,CJU,56
289,01,CKG,84
290,01,CKY,112
291,01,CLD,28
292,01,CLE,140
293,01,CLJ,84
294,01,CLO,476
295,01,CLT,448
296,01,CLV,56
297,01,CLY,56
298,01,CMB,2464
299,01,CME,28
300,01,CMF,56
301,01,CMH,168
302,01,CMN,1540
303,01,CND,56
304,01,CNF,448
305,01,CNS,504
306,01,CNX,644
307,01,COD,28
308,01,COK,1008
309,01,COO,56
310,01,COR,56
311,01,COS,196
312,01,CPC,56
313,01,CPE,56
314,01,CPG,28
315,01,CPH,4172
316,01,CPQ,112
317,01,CPT,1904
318,01,CRK,140
319,01,CRL,84
320,01,CRP,84
321,01,CRV,56
322,01,CRW,28
323,01,CSG,28
324,01,CSL,28
325,01,CSX,140
326,01,CTA,1736
327,01,CTG,812
328,01,CTS,196
329,01,CTU,196
330,01,CUB,28
331,01,CUC,56
332,01,CUE,56
333,01,CUL,28
334,01,CUN,7392
335,01,CUR,476
336,01,CUZ,504
337,01,CVG,308
338,01,CWA,28
339,01,CWB,644
340,01,CWL,336
341,01,CXJ,84
342,01,CYB,28
343,01,CYS,28
344,01,CYX,28
345,01,CZL,84
346,01,CZM,308
347,01,DAB,252
348,01,DAC,560
349,01,DAD,168
350,01,DAL,140
351,01,DAM,28
352,01,DAR,504
353,01,DAV,28
354,01,DAY,140
355,01,DBV,700
356,01,DCA,504
357,01,DED,84
358,01,DEL,6860
359,01,DEN,2044
360,01,DFW,1596
361,01,DGO,56
362,01,DGT,28
363,01,DHM,28
364,01,DIJ,56
365,01,DIK,28
366,01,DIY,56
367,01,DJB,28
368,01,DJE,476
369,01,DKR,560
370,01,DLA,252
371,01,DLC,84
372,01,DLE,28
373,01,DLM,784
374,01,DME,840
375,01,DMK,336
376,01,DMM,1764
377,01,DNK,112
378,01,DNR,28
379,01,DOH,1316
380,01,DOK,364
381,01,DOL,56
382,01,DPL,28
383,01,DPO,28
384,01,DPS,2884
385,01,DRO,28
386,01,DRS,756
387,01,DRW,168
388,01,DSA,28
389,01,DSM,56
390,01,DTM,252
391,01,DTT,252
392,01,DTW,728
393,01,DUB,5335
394,01,DUD,56
395,01,DUR,168
396,01,DUS,6300
397,01,DVO,140
398,01,DXB,8484
399,01,DYU,56
400,01,DZA,140
401,01,EAM,588
402,01,EAP,28
403,01,EAS,56
404,01,EAT,28
405,01,EBA,56
406,01,EBB,476
407,01,EBJ,28
408,01,EBL,252
409,01,ECN,84
410,01,ECP,56
411,01,EDI,1988
412,01,EDL,28
413,01,EGC,84
414,01,EGO,112
415,01,EIN,168
416,01,EIS,140
417,01,EJH,28
418,01,ELH,28
419,01,ELP,112
420,01,ELQ,112
421,01,ELS,28
422,01,ELY,28
423,01,EMA,168
424,01,EOH,28
425,01,ERF,28
426,01,ERZ,28
427,01,ESB,560
428,01,ESU,28
429,01,ETH,140
430,01,EUG,28
431,01,EUN,28
432,01,EVE,84
433,01,EVN,308
434,01,EWR,2352
435,01,EXT,196
436,01,EYW,84
437,01,EZE,1120
438,01,EZS,28
439,01,FAC,28
440,01,FAI,28
441,01,FAO,1848
442,01,FAT,112
443,01,FCO,4340
444,01,FDE,28
445,01,FDF,812
446,01,FDH,84
447,01,FEG,56
448,01,FEN,56
449,01,FEZ,308
450,01,FIH,28
451,01,FKB,224
452,01,FLA,56
453,01,FLL,3052
454,01,FLN,840
455,01,FLO,28
456,01,FLR,1624
457,01,FMA,28
458,01,FMM,140
459,01,FMN,28
460,01,FMO,280
461,01,FMY,252
462,01,FNA,56
463,01,FNC,1400
464,01,FNI,84
465,01,FNT,84
466,01,FOC,112
467,01,FOR,1512
468,01,FPO,252
469,01,FRA,10080
470,01,FRL,84
471,01,FRS,28
472,01,FRU,196
473,01,FSC,196
474,01,FSD,56
475,01,FTE,140
476,01,FUE,1708
477,01,FUK,168
478,01,FWA,28
479,01,FYV,28
480,01,GAU,84
481,01,GBE,112
482,01,GCI,84
483,01,GCJ,28
484,01,GCM,560
485,01,GDL,1288
486,01,GDN,560
487,01,GDT,28
488,01,GDV,28
489,01,GDZ,28
490,01,GEG,28
491,01,GEO,168
492,01,GFK,28
493,01,GGT,84
494,01,GHB,84
495,01,GIB,56
496,01,GIG,1540
497,01,GIZ,560
498,01,GLA,896
499,01,GLN,28
500,01,GLT,28
501,01,GMP,140
502,01,GNB,168
503,01,GND,140
504,01,GNY,28
505,01,GOA,252
506,01,GOH,28
507,01,GOI,1204
508,01,GOJ,140
509,01,GOT,1092
510,01,GOV,28
511,01,GPS,84
512,01,GRJ,28
513,01,GRO,280
514,01,GRR,168
515,01,GRU,2968
516,01,GRV,28
517,01,GRX,196
518,01,GRZ,364
519,01,GSO,28
520,01,GTF,28
521,01,GUA,1064
522,01,GUM,168
523,01,GUW,140
524,01,GVA,2548
525,01,GWL,28
526,01,GWT,196
527,01,GWY,28
528,01,GYD,168
529,01,GYE,1036
530,01,GYN,616
531,01,GZM,28
532,01,GZP,168
533,01,GZT,112
534,01,HAJ,1204
535,01,HAK,56
536,01,HAM,4620
537,01,HAN,1344
538,01,HAQ,28
539,01,HAS,168
540,01,HAU,56
541,01,HAV,1456
542,01,HBA,196
543,01,HBE,112
544,01,HDY,28
545,01,HEK,28
546,01,HEL,2380
547,01,HER,1456
548,01,HFD,28
549,01,HFE,56
550,01,HFT,28
551,01,HGH,112
552,01,HGN,28
553,01,HHN,112
554,01,HHQ,28
555,01,HIJ,84
556,01,HJR,28
557,01,HKD,28
558,01,HKG,6328
559,01,HKT,4340
560,01,HLZ,56
561,01,HME,28
562,01,HND,504
563,01,HNL,2380
564,01,HOF,28
565,01,HOG,28
566,01,HOM,28
567,01,HOR,56
568,01,HOU,616
569,01,HOV,28
570,01,HPN,56
571,01,HRB,112
572,01,HRE,56
573,01,HRG,980
574,01,HRK,84
575,01,HRL,140
576,01,HSV,112
577,01,HTA,56
578,01,HTI,56
579,01,HUX,56
580,01,HVB,84
581,01,HYD,1596
582,01,IAD,1484
583,01,IAH,868
584,01,IAS,56
585,01,IBZ,1708
586,01,ICN,2436
587,01,ICT,56
588,01,IDA,56
589,01,IDR,84
590,01,IEV,868
591,01,IFN,28
592,01,IFP,28
593,01,IGM,28
594,01,IGR,56
595,01,IGU,476
596,01,IJK,28
597,01,IKA,756
598,01,IKT,252
599,01,ILM,56
600,01,ILO,28
601,01,IMF,56
602,01,IMP,252
603,01,IND,364
604,01,INH,28
605,01,INL,28
606,01,INN,560
607,01,INV,56
608,01,IOA,28
609,01,IOM,28
610,01,IOS,168
611,01,IPC,28
612,01,IPH,28
613,01,IPN,28
614,01,IQQ,56
615,01,IRK,28
616,01,ISA,28
617,01,ISB,476
618,01,IST,9324
619,01,ISU,84
620,01,ITM,84
621,01,ITO,56
622,01,IVL,84
623,01,IXB,84
624,01,IXC,140
625,01,IXD,140
626,01,IXE,112
627,01,IXG,28
628,01,IXL,84
629,01,IXM,84
630,01,IXR,84
631,01,IXS,28
632,01,IXU,56
633,01,IXZ,140
634,01,IZM,280
635,01,JAC,56
636,01,JAI,140
637,01,JAX,364
638,01,JDF,56
639,01,JDH,28
640,01,JDO,168
641,01,JED,4956
642,01,JER,252
643,01,JFK,7952
644,01,JGN,28
645,01,JHM,56
646,01,JKG,28
647,01,JKT,476
648,01,JMK,308
649,01,JNB,2800
650,01,JNU,28
651,01,JNX,28
652,01,JOE,28
653,01,JOG,56
654,01,JOI,84
655,01,JPA,420
656,01,JRB,28
657,01,JRO,252
658,01,JRS,28
659,01,JSI,168
660,01,JTC,28
661,01,JTR,448
662,01,JUB,28
663,01,JUL,56
664,01,JYV,56
665,01,KAJ,28
666,01,KAO,84
667,01,KBL,252
668,01,KBP,1148
669,01,KBV,392
670,01,KBW,28
671,01,KCH,112
672,01,KCZ,28
673,01,KDH,28
674,01,KEF,952
675,01,KEJ,56
676,01,KEL,28
677,01,KGD,140
678,01,KGE,28
679,01,KGF,84
680,01,KGL,168
681,01,KGP,28
682,01,KGS,252
683,01,KHH,224
684,01,KHI,308
685,01,KHV,308
686,01,KID,28
687,01,KIN,700
688,01,KIR,56
689,01,KIV,308
690,01,KIX,392
691,01,KJA,168
692,01,KKC,56
693,01,KKN,84
694,01,KLO,56
695,01,KLR,28
696,01,KLU,84
697,01,KLV,196
698,01,KLX,56
699,01,KMG,84
700,01,KNU,28
701,01,KOA,224
702,01,KOI,56
703,01,KOS,84
704,01,KRK,1036
705,01,KRN,140
706,01,KRO,56
707,01,KRP,28
708,01,KRR,532
709,01,KRS,168
710,01,KRT,280
711,01,KSC,28
712,01,KSD,28
713,01,KSF,28
714,01,KSU,28
715,01,KSZ,28
716,01,KTM,1120
717,01,KTT,84
718,01,KTW,224
719,01,KUF,308
720,01,KUL,3416
721,01,KUN,56
722,01,KUO,168
723,01,KVA,28
724,01,KVD,56
725,01,KWI,420
726,01,KWL,84
727,01,KYA,28
728,01,KZN,196
729,01,KZR,56
730,01,LAD,168
731,01,LAI,56
732,01,LAN,56
733,01,LAR,28
734,01,LAS,6440
735,01,LAU,28
736,01,LAX,8960
737,01,LBA,252
738,01,LBB,28
739,01,LBD,56
740,01,LBV,56
741,01,LCA,1428
742,01,LCE,28
743,01,LCG,140
744,01,LCJ,140
745,01,LCY,700
746,01,LDB,224
747,01,LDE,84
748,01,LDY,28
749,01,LEA,28
750,01,LED,2688
751,01,LEH,28
752,01,LEI,280
753,01,LEJ,392
754,01,LEN,84
755,01,LFT,28
756,01,LFW,56
757,01,LGA,924
758,01,LGB,112
759,01,LGI,28
760,01,LGK,168
761,01,LGP,28
762,01,LGW,2128
763,01,LHE,476
764,01,LHR,10528
765,01,LIG,112
766,01,LIH,224
767,01,LIL,392
768,01,LIM,3836
769,01,LIN,812
770,01,LIR,840
771,01,LIS,5656
772,01,LIT,112
773,01,LJG,28
774,01,LJU,560
775,01,LKL,28
776,01,LKN,28
777,01,LKO,224
778,01,LLA,140
779,01,LLW,28
780,01,LMM,28
781,01,LNK,28
782,01,LNS,28
783,01,LNZ,112
784,01,LON,17416
785,01,LOP,28
786,01,LOS,812
787,01,LPA,3304
788,01,LPB,196
789,01,LPI,56
790,01,LPK,28
791,01,LPL,196
792,01,LPP,28
793,01,LPQ,56
794,01,LRE,28
795,01,LRH,56
796,01,LRM,84
797,01,LRT,112
798,01,LSI,84
799,01,LST,28
800,01,LTN,196
801,01,LTO,28
802,01,LUG,28
803,01,LUN,112
804,01,LUP,28
805,01,LUX,392
806,01,LUZ,28
807,01,LVI,56
808,01,LWN,28
809,01,LWO,308
810,01,LXR,252
811,01,LYC,28
812,01,LYG,56
813,01,LYR,28
814,01,LYS,1540
815,01,MAA,2352
816,01,MAB,168
817,01,MAD,11915
818,01,MAG,28
819,01,MAH,532
820,01,MAJ,28
821,01,MAN,2268
822,01,MAO,476
823,01,MAR,84
824,01,MAS,28
825,01,MAZ,28
826,01,MBA,364
827,01,MBJ,2296
828,01,MBS,28
829,01,MCH,28
830,01,MCI,392
831,01,MCM,56
832,01,MCN,28
833,01,MCO,4900
834,01,MCP,56
835,01,MCT,448
836,01,MCW,28
837,01,MCX,84
838,01,MCY,28
839,01,MCZ,840
840,01,MDC,28
841,01,MDE,1148
842,01,MDL,28
843,01,MDT,112
844,01,MDW,112
845,01,MDZ,56
846,01,MEA,28
847,01,MEC,56
848,01,MED,532
849,01,MEH,84
850,01,MEL,4396
851,01,MEM,280
852,01,MES,28
853,01,MEX,2856
854,01,MFM,56
855,01,MFR,28
856,01,MGA,952
857,01,MGF,112
858,01,MGL,28
859,01,MGM,28
860,01,MHD,56
861,01,MHH,84
862,01,MHQ,28
863,01,MIA,9100
864,01,MID,112
865,01,MIE,28
866,01,MII,56
867,01,MIL,4396
868,01,MIM,28
869,01,MIR,196
870,01,MIT,28
871,01,MJF,28
872,01,MJT,84
873,01,MJV,336
874,01,MKC,56
875,01,MKE,56
876,01,MLA,980
877,01,MLB,56
878,01,MLE,1652
879,01,MLH,84
880,01,MLI,28
881,01,MLM,84
882,01,MLN,84
883,01,MLO,28
884,01,MLP,28
885,01,MLU,56
886,01,MLX,56
887,01,MMA,28
888,01,MMH,28
889,01,MMK,56
890,01,MMX,84
891,01,MNL,7280
892,01,MOB,112
893,01,MOL,112
894,01,MOW,6020
895,01,MOZ,28
896,01,MPH,56
897,01,MPL,252
898,01,MPM,140
899,01,MQL,28
900,01,MQM,28
901,01,MQP,84
902,01,MRI,28
903,01,MRK,28
904,01,MRS,1624
905,01,MRU,924
906,01,MRV,168
907,01,MRX,28
908,01,MRZ,28
909,01,MSC,28
910,01,MSJ,28
911,01,MSN,56
912,01,MSO,56
913,01,MSP,1008
914,01,MSQ,336
915,01,MST,56
916,01,MSY,1204
917,01,MTR,56
918,01,MTT,28
919,01,MTY,140
920,01,MUB,28
921,01,MUC,9492
922,01,MUN,28
923,01,MVB,28
924,01,MVD,644
925,01,MXL,112
926,01,MXP,1764
927,01,MYD,56
928,01,MYQ,56
929,01,MYR,308
930,01,MYY,28
931,01,MZL,56
932,01,MZT,168
933,01,NAA,28
934,01,NAG,140
935,01,NAL,56
936,01,NAN,616
937,01,NAP,1764
938,01,NAS,1372
939,01,NAT,952
940,01,NBC,84
941,01,NBE,224
942,01,NBO,1288
943,01,NCE,3080
944,01,NCL,532
945,01,NCY,28
946,01,NDC,28
947,01,NDJ,28
948,01,NDR,84
949,01,NEG,28
950,01,NER,28
951,01,NEV,56
952,01,NGO,224
953,01,NHA,84
954,01,NIM,28
955,01,NJC,112
956,01,NJF,28
957,01,NKC,28
958,01,NKG,112
959,01,NLA,28
960,01,NLD,28
961,01,NNG,56
962,01,NOC,140
963,01,NOI,28
964,01,NOJ,28
965,01,NOS,56
966,01,NOU,224
967,01,NOZ,28
968,01,NPL,28
969,01,NQT,28
970,01,NQY,168
971,01,NRN,140
972,01,NRT,2156
973,01,NSI,224
974,01,NSK,84
975,01,NSN,28
976,01,NTE,868
977,01,NTL,28
978,01,NTY,28
979,01,NUE,1008
980,01,NUX,168
981,01,NVA,56
982,01,NVK,28
983,01,NVT,308
984,01,NWI,84
985,01,NYA,28
986,01,NYC,15036
987,01,NYO,28
988,01,OAK,56
989,01,OAX,84
990,01,OCC,28
991,01,ODE,28
992,01,ODS,560
993,01,OER,28
994,01,OGG,560
995,01,OGZ,84
996,01,OHD,28
997,01,OKA,140
998,01,OKC,140
999,01,OLB,476
1000,01,OMA,224
1001,01,OMO,28
1002,01,OMS,168
1003,01,ONQ,28
1004,01,ONT,252
1005,01,OOL,448
1006,01,OPO,2016
1007,01,OPS,56
1008,01,ORB,28
1009,01,ORD,1988
1010,01,ORF,84
1011,01,ORK,420
1012,01,ORL,2380
1013,01,ORN,196
1014,01,ORY,2296
1015,01,OSA,280
1016,01,OSD,140
1017,01,OSL,4508
1018,01,OSR,28
1019,01,OSS,56
1020,01,OST,56
1021,01,OTP,840
1022,01,OUA,28
1023,01,OUD,168
1024,01,OUL,56
1025,01,OVB,728
1026,01,OVD,336
1027,01,OVS,28
1028,01,OXB,28
1029,01,OXF,28
1030,01,OZZ,56
1031,01,PAD,196
1032,01,PAP,336
1033,01,PAR,13063
1034,01,PAS,56
1035,01,PAT,112
1036,01,PBC,28
1037,01,PBD,56
1038,01,PBI,448
1039,01,PBM,140
1040,01,PBN,28
1041,01,PCL,28
1042,01,PCM,28
1043,01,PCR,28
1044,01,PDL,140
1045,01,PDP,84
1046,01,PDV,84
1047,01,PDX,700
1048,01,PED,28
1049,01,PEE,252
1050,01,PEG,28
1051,01,PEI,196
1052,01,PEK,2996
1053,01,PEM,28
1054,01,PEN,196
1055,01,PER,1708
1056,01,PET,28
1057,01,PEU,28
1058,01,PFN,56
1059,01,PFO,252
1060,01,PGA,28
1061,01,PGF,140
1062,01,PGH,28
1063,01,PGV,28
1064,01,PGX,28
1065,01,PHF,56
1066,01,PHL,1120
1067,01,PHX,1764
1068,01,PHZ,56
1069,01,PID,28
1070,01,PIK,28
1071,01,PIT,308
1072,01,PIU,56
1073,01,PJM,28
1074,01,PKC,140
1075,01,PKR,28
1076,01,PLH,28
1077,01,PLO,28
1078,01,PLS,504
1079,01,PLZ,112
1080,01,PMC,56
1081,01,PMI,12292
1082,01,PMO,868
1083,01,PMQ,28
1084,01,PMR,28
1085,01,PMV,28
1086,01,PMW,84
1087,01,PNA,84
1088,01,PNH,588
1089,01,PNI,28
1090,01,PNQ,420
1091,01,PNR,28
1092,01,PNS,196
1093,01,PNZ,140
1094,01,POA,1036
1095,01,POM,84
1096,01,POP,896
1097,01,POR,28
1098,01,POS,644
1099,01,POX,28
1100,01,POZ,84
1101,01,PPG,28
1102,01,PPQ,28
1103,01,PPS,28
1104,01,PPT,196
1105,01,PQC,56
1106,01,PQQ,56
1107,01,PRC,28
1108,01,PRG,4032
1109,01,PRN,616
1110,01,PSA,700
1111,01,PSE,56
1112,01,PSP,420
1113,01,PSR,56
1114,01,PSS,28
1115,01,PSZ,28
1116,01,PTP,868
1117,01,PTY,1204
1118,01,PUF,56
1119,01,PUJ,2744
1120,01,PUS,252
1121,01,PUY,196
1122,01,PVD,140
1123,01,PVG,3052
1124,01,PVH,308
1125,01,PVK,140
1126,01,PVR,1260
1127,01,PWE,28
1128,01,PXO,28
1129,01,PYX,28
1130,01,QJZ,28
1131,01,QKU,28
1132,01,QLJ,28
1133,01,QME,28
1134,01,QQS,28
1135,01,QRO,168
1136,01,QSR,28
1137,01,QYG,28
1138,01,RAE,56
1139,01,RAI,140
1140,01,RAK,1652
1141,01,RAO,28
1142,01,RAR,56
1143,01,RAZ,28
1144,01,RBA,308
1145,01,RBR,112
1146,01,RCH,28
1147,01,RDM,56
1148,01,RDU,420
1149,01,RDZ,28
1150,01,REC,1820
1151,01,REG,168
1152,01,REK,784
1153,01,REL,28
1154,01,REN,140
1155,01,REP,392
1156,01,REU,196
1157,01,REX,28
1158,01,RGK,28
1159,01,RGN,532
1160,01,RGS,28
1161,01,RHO,1008
1162,01,RIC,168
1163,01,RIF,28
1164,01,RIG,28
1165,01,RIO,3388
1166,01,RIX,980
1167,01,RJK,140
1168,01,RKE,28
1169,01,RKT,56
1170,01,RKV,28
1171,01,RLG,84
1172,01,RMA,28
1173,01,RMF,84
1174,01,RMI,252
1175,01,RMQ,56
1176,01,RNO,140
1177,01,RNS,112
1178,01,ROA,84
1179,01,ROB,56
1180,01,ROC,224
1181,01,ROM,9184
1182,01,ROO,56
1183,01,ROR,28
1184,01,ROS,56
1185,01,ROT,28
1186,01,ROV,280
1187,01,RPN,28
1188,01,RSE,28
1189,01,RSW,1260
1190,01,RTB,112
1191,01,RTM,252
1192,01,RTW,56
1193,01,RUH,4732
1194,01,RUN,812
1195,01,RUT,28
1196,01,RVN,112
1197,01,RYG,56
1198,01,RZE,84
1199,01,SAC,112
1200,01,SAH,56
1201,01,SAL,1540
1202,01,SAN,1260
1203,01,SAO,3080
1204,01,SAP,336
1205,01,SAT,392
1206,01,SAV,84
1207,01,SAW,644
1208,01,SBH,84
1209,01,SBN,28
1210,01,SBZ,112
1211,01,SCL,1624
1212,01,SCN,280
1213,01,SCO,28
1214,01,SCQ,728
1215,01,SCU,28
1216,01,SCY,28
1217,01,SDF,168
1218,01,SDL,84
1219,01,SDQ,1512
1220,01,SDR,280
1221,01,SDU,812
1222,01,SDV,56
1223,01,SDY,28
1224,01,SDZ,28
1225,01,SEA,2100
1226,01,SEL,1036
1227,01,SEN,28
1228,01,SEZ,700
1229,01,SFA,28
1230,01,SFB,252
1231,01,SFG,56
1232,01,SFO,5139
1233,01,SFT,28
1234,01,SGC,112
1235,01,SGN,2660
1236,01,SHA,980
1237,01,SHE,112
1238,01,SHJ,168
1239,01,SHL,28
1240,01,SHW,56
1241,01,SIA,28
1242,01,SID,196
1243,01,SIN,5068
1244,01,SIP,392
1245,01,SJC,224
1246,01,SJD,1736
1247,01,SJJ,560
1248,01,SJO,2940
1249,01,SJP,224
1250,01,SJU,2268
1251,01,SJZ,28
1252,01,SKD,28
1253,01,SKG,1428
1254,01,SKN,84
1255,01,SKP,588
1256,01,SKX,28
1257,01,SLA,56
1258,01,SLC,672
1259,01,SLJ,28
1260,01,SLL,56
1261,01,SLM,56
1262,01,SLP,56
1263,01,SLU,84
1264,01,SLV,84
1265,01,SLZ,532
1266,01,SMF,112
1267,01,SMI,28
1268,01,SMR,252
1269,01,SNA,420
1270,01,SNN,336
1271,01,SNO,28
1272,01,SNU,28
1273,01,SOB,28
1274,01,SOF,1232
1275,01,SON,28
1276,01,SOQ,28
1277,01,SOU,196
1278,01,SPC,308
1279,01,SPK,56
1280,01,SPN,28
1281,01,SPU,980
1282,01,SRG,28
1283,01,SRQ,196
1284,01,SRZ,56
1285,01,SSA,1764
1286,01,SSG,28
1287,01,SSH,1008
1288,01,SSJ,28
1289,01,STD,28
1290,01,STI,308
1291,01,STL,252
1292,01,STM,84
1293,01,STN,504
1294,01,STO,2828
1295,01,STR,2688
1296,01,STS,56
1297,01,STT,504
1298,01,STV,28
1299,01,STW,28
1300,01,STX,112
1301,01,SUB,28
1302,01,SUF,280
1303,01,SUV,28
1304,01,SVD,28
1305,01,SVG,1036
1306,01,SVJ,28
1307,01,SVO,1148
1308,01,SVQ,1540
1309,01,SVX,700
1310,01,SWF,28
1311,01,SXB,420
1312,01,SXF,252
1313,01,SXM,1008
1314,01,SXR,252
1315,01,SYD,7364
1316,01,SYQ,112
1317,01,SYR,84
1318,01,SYX,140
1319,01,SYY,56
1320,01,SYZ,84
1321,01,SZB,56
1322,01,SZF,112
1323,01,SZG,728
1324,01,SZX,112
1325,01,TAB,56
1326,01,TAC,56
1327,01,TAE,28
1328,01,TAG,84
1329,01,TAI,28
1330,01,TAM,28
1331,01,TAO,112
1332,01,TAS,532
1333,01,TBG,28
1334,01,TBS,420
1335,01,TBU,84
1336,01,TBZ,84
1337,01,TCB,56
1338,01,TCI,2296
1339,01,TCO,28
1340,01,TCQ,28
1341,01,TDD,56
